index,word,block,pos
43,temozolomide,"Frequently, patients subjected to a mono-target therapy, such as Temozolomide (TMZ), develop drug resistance and undergo relapse, indicating that targeting a single cellular node is not sufficient for eradication of this disease.",65
43,tmz,"Frequently, patients subjected to a mono-target therapy, such as Temozolomide (TMZ), develop drug resistance and undergo relapse, indicating that targeting a single cellular node is not sufficient for eradication of this disease.",79
69,metformin,"In this narrative review (MEDLINE/OVID, SCOPUS, PubMed and manual searches of the bibliographies of known primary and review articles), we discuss the current literature using the following search terms leptin, glioblastoma multiforme, carcinogenesis, immunometabolism, biomarkers, metformin, antidiabetic medication and metabolic disorders.",282
101,cci-779,s CCI-779 is an ester of the immunosuppressive agent sirolimus ( rapamycin) that causes cell-cycle arrest at G1 via inhibition of key signaling pathways resulting in inhibition of RNA translation.,2
101,sirolimus,s CCI-779 is an ester of the immunosuppressive agent sirolimus ( rapamycin) that causes cell-cycle arrest at G1 via inhibition of key signaling pathways resulting in inhibition of RNA translation.,53
101,rapamycin,s CCI-779 is an ester of the immunosuppressive agent sirolimus ( rapamycin) that causes cell-cycle arrest at G1 via inhibition of key signaling pathways resulting in inhibition of RNA translation.,65
101,cci-779,Patients receiving enzyme-inducing anti-epileptic drugs (EIAEDs) can have altered metabolism of drugs like CCI-779 that are metabolized through the hepatic cytochrome P450 enzyme system.,107
101,cci-779,The objectives of this study were to determine the pharmacokinetic profile and the maximum tolerated dose of CCI-779 in patients with recurrent malignant gliioma taking EIAEDs.,109
101,cci-779,Study design The starting dose of CCI-779 was 250 mg intravenously (IV) administered weekly on a continuous basis.,34
101,rapamycin,"Pharmacokinetic profiles were similar to those previously described, but the area under the whole blood concentration-time curve of rapamycin was 1.6 fold lower for patients on EIAEDs.  ",132
101,cci779,The recommended phase II dose of CCI 779 for patients on enzyme-inducing antiepileptic drugs is 250 mg IV weekly.,33
145,tipifarnib,The purpose of this phase I study was to determine the maximum tolerated dose (MTD) for the combination of tipifarnib and sorafenib for the treatment of recurrent GBM.,107
145,sorafenib,The purpose of this phase I study was to determine the maximum tolerated dose (MTD) for the combination of tipifarnib and sorafenib for the treatment of recurrent GBM.,122
145,sorafenib,Treatments included sorafenib at twice daily and escalating dosages of tipifarnib.,20
145,tipifarnib,Treatments included sorafenib at twice daily and escalating dosages of tipifarnib.,71
145,sorafenib,The last dose level reached was sorafenib at 200 mg twice a day and tipifarnib 100 mg twice a day on an alternating week schedule.,32
145,tipifarnib,The last dose level reached was sorafenib at 200 mg twice a day and tipifarnib 100 mg twice a day on an alternating week schedule.,68
145,sorafenib,The combination of sorafenib and tipifarnib has excessive toxicities and full single agent dosages could not be achieved in combination.,19
145,tipifarnib,The combination of sorafenib and tipifarnib has excessive toxicities and full single agent dosages could not be achieved in combination.,33
172,rapamycin,"The mammalian target of rapamycin (mTOR) plays a central role in regulating the proliferation of cancer cells, and mTOR-specific inhibitors such as rapamycin analogs are considered as a promising therapy for malignant glioma.",24
