index,word,block,pos
69,leptin,"Leptin and related mediators of immune-metabolic traffic have attracted increased recognition in the past decade in brain tumor biology, in particular potential implications in the diagnosis and treatment of recurrent and newly diagnosed high and low grade gliomas.",0
69,leptin,Randomized controlled trails are on the way to elaborate the role of leptin and its receptor ObR by targeting and using antidiabetic drugs known to interact with distinct pathways associated with leptin signaling.,69
69,obr,Randomized controlled trails are on the way to elaborate the role of leptin and its receptor ObR by targeting and using antidiabetic drugs known to interact with distinct pathways associated with leptin signaling.,93
69,leptin,Randomized controlled trails are on the way to elaborate the role of leptin and its receptor ObR by targeting and using antidiabetic drugs known to interact with distinct pathways associated with leptin signaling.,196
69,leptin,"To date, most of the findings in clinical studies remain preliminary and of heterogenous character, although experimental studies have underpinned the relevance of leptin and ObR in the pathophysiology of brain tumors in general.",164
69,obr,"To date, most of the findings in clinical studies remain preliminary and of heterogenous character, although experimental studies have underpinned the relevance of leptin and ObR in the pathophysiology of brain tumors in general.",175
69,leptin,"Leptin has been recognized as a potential tumor growth promoter in various cancers including cranial tumor pathologies such as pituitary adenomas, meningiomas and gliomas.",0
69,leptin,"Among the various circulating mediators, leptin has gained especial diagnostic and therapeutic interest, although the precise relationship between leptin and glioblastoma biology remains largely unknown.",41
69,leptin,"Among the various circulating mediators, leptin has gained especial diagnostic and therapeutic interest, although the precise relationship between leptin and glioblastoma biology remains largely unknown.",147
69,leptin,"In this narrative review (MEDLINE/OVID, SCOPUS, PubMed and manual searches of the bibliographies of known primary and review articles), we discuss the current literature using the following search terms leptin, glioblastoma multiforme, carcinogenesis, immunometabolism, biomarkers, metformin, antidiabetic medication and metabolic disorders.",203
69,leptin,"An increasing body of experimental evidence implicates a relationship between the development and maintenance of gliomas (and brain tumors in general) with a dysregulated central and peripheral immune-metabolic network mediated by circulating adipokines, chemokines and cellular components, and in particular the leptin adipokine.",313
69,adip,"An increasing body of experimental evidence implicates a relationship between the development and maintenance of gliomas (and brain tumors in general) with a dysregulated central and peripheral immune-metabolic network mediated by circulating adipokines, chemokines and cellular components, and in particular the leptin adipokine.",320
69,leptin,"In this review, we summarize the current evidence of the role of leptin in glioblastoma pathophysiology.",65
69,leptin,"In addition, we describe the status of alternative diagnostic tools and adjunctive therapeutics targeting leptin, leptin-receptors, antidiabetic drugs and associated pathways.",106
69,leptin-receptors,"In addition, we describe the status of alternative diagnostic tools and adjunctive therapeutics targeting leptin, leptin-receptors, antidiabetic drugs and associated pathways.",114
101,cytochromep450,Patients receiving enzyme-inducing anti-epileptic drugs (EIAEDs) can have altered metabolism of drugs like CCI-779 that are metabolized through the hepatic cytochrome P450 enzyme system.,156
145,lipase,"The DLTs included diarrhea, lipase elevation, hypophosphatemia, and arthralgia.",28
172,mammaliantargetofrapamycin,"The mammalian target of rapamycin (mTOR) plays a central role in regulating the proliferation of cancer cells, and mTOR-specific inhibitors such as rapamycin analogs are considered as a promising therapy for malignant glioma.",4
172,mtor,"The mammalian target of rapamycin (mTOR) plays a central role in regulating the proliferation of cancer cells, and mTOR-specific inhibitors such as rapamycin analogs are considered as a promising therapy for malignant glioma.",35
172,mtor,"The mammalian target of rapamycin (mTOR) plays a central role in regulating the proliferation of cancer cells, and mTOR-specific inhibitors such as rapamycin analogs are considered as a promising therapy for malignant glioma.",115
172,mtor,"In this study, we investigated the possibility of using mTOR inhibitors to treat gliomas.",56
172,s6,"We used a molecular marker, phosphorylation of S6 protein, to monitor biological effects of mTOR inhibitors within xenografts.",47
172,mtor,"We used a molecular marker, phosphorylation of S6 protein, to monitor biological effects of mTOR inhibitors within xenografts.",92
189,fgfr3,"We performed whole transcriptome sequencing to identify fusion genes in glioma and discovered FGFR3-TACC3 fusions in 4 of 48 glioblastoma samples from patients both of mixed European and of Asian descent, but not in any of 43 low-grade glioma samples tested.",94
189,tacc3,"We performed whole transcriptome sequencing to identify fusion genes in glioma and discovered FGFR3-TACC3 fusions in 4 of 48 glioblastoma samples from patients both of mixed European and of Asian descent, but not in any of 43 low-grade glioma samples tested.",100
189,fgfr3,"The fusion, caused by tandem duplication on 4p16.3, led to the loss of the 3'-UTR of FGFR3, blocking gene regulation of miR-99a and enhancing expression of the fusion gene.",85
189,mir-99a,"The fusion, caused by tandem duplication on 4p16.3, led to the loss of the 3'-UTR of FGFR3, blocking gene regulation of miR-99a and enhancing expression of the fusion gene.",120
189,egfr,"The fusion gene was mutually exclusive with EGFR, PDGFR, or MET amplification.",44
189,pdgfr,"The fusion gene was mutually exclusive with EGFR, PDGFR, or MET amplification.",50
189,met,"The fusion gene was mutually exclusive with EGFR, PDGFR, or MET amplification.",60
189,fgfr3,"Using cultured glioblastoma cells and a mouse xenograft model, we found that fusion protein expression promoted cell proliferation and tumor progression, while WT FGFR3 protein was not tumorigenic, even under forced overexpression.",163
189,fgfr3,These results demonstrated that the FGFR3-TACC3 gene fusion is expressed in human cancer and generates an oncogenic protein that promotes tumorigenesis in glioblastoma.,36
189,tacc3,These results demonstrated that the FGFR3-TACC3 gene fusion is expressed in human cancer and generates an oncogenic protein that promotes tumorigenesis in glioblastoma.,42
292,interleukin13receptoralpha2,The field of targeting through receptors progressed significantly with the discovery of an interleukin 13 receptor alpha 2 (IL-13RA2) as a tumor-associated receptor over-expressed in most patients with glioblastoma (GBM) but not in normal brain.,91
292,il-13ra2,The field of targeting through receptors progressed significantly with the discovery of an interleukin 13 receptor alpha 2 (IL-13RA2) as a tumor-associated receptor over-expressed in most patients with glioblastoma (GBM) but not in normal brain.,124
292,il-13ra2,IL-13RA2 has been exploited in novel experimental therapies with very encouraging clinical responses.,0
292,epha2,"Other receptors are specifically over-expressed in many patients with GBM, such as EphA2 and EphA3 receptors, among others.",83
292,epha3,"Other receptors are specifically over-expressed in many patients with GBM, such as EphA2 and EphA3 receptors, among others.",93
372,met,"The prinicipal targets of XL-184 are MET, VEGFR-2 and RET, but the drug is also reported to display inhibitory activity against KIT, FLT3 and TEK.",37
372,vegfr-2,"The prinicipal targets of XL-184 are MET, VEGFR-2 and RET, but the drug is also reported to display inhibitory activity against KIT, FLT3 and TEK.",42
372,ret,"The prinicipal targets of XL-184 are MET, VEGFR-2 and RET, but the drug is also reported to display inhibitory activity against KIT, FLT3 and TEK.",54
372,kit,"The prinicipal targets of XL-184 are MET, VEGFR-2 and RET, but the drug is also reported to display inhibitory activity against KIT, FLT3 and TEK.",128
372,flt3,"The prinicipal targets of XL-184 are MET, VEGFR-2 and RET, but the drug is also reported to display inhibitory activity against KIT, FLT3 and TEK.",133
372,tek,"The prinicipal targets of XL-184 are MET, VEGFR-2 and RET, but the drug is also reported to display inhibitory activity against KIT, FLT3 and TEK.",142
410,calcium-activatedpotassium(k-ca)channels,"In this study, we examined the function and regulation of calcium-activated potassium (K-Ca) channels in a rat metastatic brain tumor model.",58
410,bradykinin,"We showed that intravenous infusion of NS1619, a K-Ca channel agonist, and bradykinin selectively enhanced BTB permeability in brain tumors, but not in normal brain.",75
410,bradykinintype2receptors,"We found KCa channels and bradykinin type 2 receptors (B2R) expressed in cultured human metastatic brain tumor cells (CRL-5904, non-small cell lung cancer, metastasized to brain), human brain microvessel endothelial cells (HBMEC) and human lung cancer brain metastasis tissues.",26
410,b2r,"We found KCa channels and bradykinin type 2 receptors (B2R) expressed in cultured human metastatic brain tumor cells (CRL-5904, non-small cell lung cancer, metastasized to brain), human brain microvessel endothelial cells (HBMEC) and human lung cancer brain metastasis tissues.",55
410,kcachannels,"Furthermore, we detected higher expression of KCa channels in the metastatic brain tumor tissue and tumor capillary endothelia as compared to normal brain tissue.",46
410,kcachannels,"Co-culture of metastatic brain tumor cells and brain microvessel endothelial cells showed an upregulation of KCa channels, which may contribute to the overexpression of KCa channels in tumor microvessels and selectivity of BTB opening.",109
410,kcachannels,"Co-culture of metastatic brain tumor cells and brain microvessel endothelial cells showed an upregulation of KCa channels, which may contribute to the overexpression of KCa channels in tumor microvessels and selectivity of BTB opening.",169
433,epidermalgrowthfactorreceptor,"ABT-414 is a first-in-class, tumor-specific antibody-drug conjugate that preferentially targets tumors expressing overactive epidermal growth factor receptor (EGFR).s.",125
433,egfr,"ABT-414 is a first-in-class, tumor-specific antibody-drug conjugate that preferentially targets tumors expressing overactive epidermal growth factor receptor (EGFR).s.",159
433,egfr,"EGFR alterations, O-6-methylguanine-DNA methyltransferase (MGMT) promoter hypermethylation, and isocitrate dehydrogenase (IDH1) gene mutations were assessed in patient tumors.",0
433,o-6-methylguanine-dnamethyltransferase,"EGFR alterations, O-6-methylguanine-DNA methyltransferase (MGMT) promoter hypermethylation, and isocitrate dehydrogenase (IDH1) gene mutations were assessed in patient tumors.",18
433,mgmt,"EGFR alterations, O-6-methylguanine-DNA methyltransferase (MGMT) promoter hypermethylation, and isocitrate dehydrogenase (IDH1) gene mutations were assessed in patient tumors.",59
433,isocitratedehydrogenase,"EGFR alterations, O-6-methylguanine-DNA methyltransferase (MGMT) promoter hypermethylation, and isocitrate dehydrogenase (IDH1) gene mutations were assessed in patient tumors.",96
433,idh1,"EGFR alterations, O-6-methylguanine-DNA methyltransferase (MGMT) promoter hypermethylation, and isocitrate dehydrogenase (IDH1) gene mutations were assessed in patient tumors.",122
433,rptd,"RPTD and MTD were set at 2 mg/kg and 2.4 mg/kg, respectively.",0
433,egfr,"Among 38 patients with pretreatment tumor tested centrally, 39% harbored EGFR amplification, of which 73% had EGFRvIII mutation.",73
433,egfrviii,"Among 38 patients with pretreatment tumor tested centrally, 39% harbored EGFR amplification, of which 73% had EGFRvIII mutation.",110
433,mgmt,"Among patients with available tumor tissue (n = 30), 30% showed MGMT promoter methylation and none had IDH1 mutations.",64
433,idh1,"Among patients with available tumor tissue (n = 30), 30% showed MGMT promoter methylation and none had IDH1 mutations.",103
466,frizzled9,"All markers could be detected in all tumors, however, Frizzled 9 and GFAP had differential expression in grade II/III compared with grade I meningioma tissues.",54
466,gfap,"All markers could be detected in all tumors, however, Frizzled 9 and GFAP had differential expression in grade II/III compared with grade I meningioma tissues.",69
466,gfap,Correlation analysis showed significant relationships between the expression of GFAP and CD133 as well as SSEA4 and Vimentin.,80
466,cd133,Correlation analysis showed significant relationships between the expression of GFAP and CD133 as well as SSEA4 and Vimentin.,89
466,ssea4,Correlation analysis showed significant relationships between the expression of GFAP and CD133 as well as SSEA4 and Vimentin.,106
466,vimentin,Correlation analysis showed significant relationships between the expression of GFAP and CD133 as well as SSEA4 and Vimentin.,116
466,cd133,"Sub regions that showed multiple co-staining of markers including CD133, Frizzled 9, GFAP, Vimentin, and SSEA4, but not necessarily the proliferation marker Ki67, were highly associated with grade II/III meningiomas.",66
466,frizzled9,"Sub regions that showed multiple co-staining of markers including CD133, Frizzled 9, GFAP, Vimentin, and SSEA4, but not necessarily the proliferation marker Ki67, were highly associated with grade II/III meningiomas.",73
466,gfap,"Sub regions that showed multiple co-staining of markers including CD133, Frizzled 9, GFAP, Vimentin, and SSEA4, but not necessarily the proliferation marker Ki67, were highly associated with grade II/III meningiomas.",85
466,vimentin,"Sub regions that showed multiple co-staining of markers including CD133, Frizzled 9, GFAP, Vimentin, and SSEA4, but not necessarily the proliferation marker Ki67, were highly associated with grade II/III meningiomas.",91
466,ssea4,"Sub regions that showed multiple co-staining of markers including CD133, Frizzled 9, GFAP, Vimentin, and SSEA4, but not necessarily the proliferation marker Ki67, were highly associated with grade II/III meningiomas.",105
