,title,text,abstract,url
0,"Delivery of molecularly targeted therapy to malignant glioma, a disease of the whole brain","The past two decades have witnessed major advances in molecular and cellular biology that have substantially improved our understanding of human malignancies. Unfortunately, this period has also seen a significant rise in the incidence of malignant brain tumours along with only a modest increase in the survival rates associated with them, which are often poor (Ref. 1). Out of the approximately 22 020 new cases of primary malignant brain tumours that were estimated to be diagnosed in the USA in 2010, 80% were expected to be malignant gliomas (Refs 2, 3). Gliomas represent a group of highly malignant and lethal tumours of the brain that, despite all therapeutic advances, have an extremely poor prognosis. The median survival of patients with glioblastoma multiforme, the most common and most malignant subtype of glioma, is only 12-18 months (Ref. 4). The current standard of care in glioblastoma multiforme is treatment with the DNA-alkylating agent temozolomide combined with radiation, a treatment that has been proven to prolong patient survival by a few months (Ref. 4). Many new molecularly targeted agents that were developed to inhibit signalling pathways critical for glioma growth and proliferation have failed to elicit any clinical benefit (Ref. 5).","Glioblastoma multiforme, because of its invasive nature, can be considered a disease of the entire brain. Despite recent advances in surgery, radiotherapy and chemotherapy, current treatment regimens have only a marginal impact on patient survival. A crucial challenge is to deliver drugs effectively to invasive glioma cells residing in a sanctuary within the central nervous system. The blood-brain barrier (BBB) restricts the delivery of many small and large molecules into the brain. Drug delivery to the brain is further restricted by active efflux transporters present at the BBB. Current clinical assessment of drug delivery and hence efficacy is based on the measured drug levels in the bulk tumour mass that is usually removed by surgery. Mounting evidence suggests that the inevitable relapse and lethality of glioblastoma multiforme is due to a failure to effectively treat invasive glioma cells. These invasive cells hide in areas of the brain that are shielded by an intact BBB, where they continue to grow and give rise to the recurrent tumour. Effective delivery of chemotherapeutics to the invasive glioma cells is therefore critical, and long-term efficacy will depend on the ability of a molecularly targeted agent to penetrate an intact and functional BBB throughout the entire brain. This review highlights the various aspects of the BBB, and also the brain-tumour-cell barrier (a barrier due to expression of efflux transporters in tumour cells), that together can significantly influence drug response. It then discusses the challenge of glioma as a disease of the whole brain, which lends emphasis to the need to deliver drugs effectively across the BBB to reach both the central tumour and the invasive glioma cells.",https//www.cambridge.org/core/services/aop-cambridge-core/content/view/45B082815504D678D70CAB70E3AABB0F/S1462399411001888a.pdf/div-class-title-delivery-of-molecularly-targeted-therapy-to-malignant-glioma-a-disease-of-the-whole-brain-div.pdf
43,New Multitarget Approaches in the War Against Glioblastoma A Mini-Perspective,"Despite the recent advantages in the field of drug design, the development of innovative and selective single-target drugs seems to be a task of little success, at least in the field of anticancer drug research. Too often, therapies properly designed to act selectively against a single-target display a low or no efficacy. Indeed, the cellular processes cannot be effectively modulated by a single-target drug and this weakness can be attributed to the complexity of pathways and molecular alterations implicated in the development and progression of cancer. The most tangible evidence of the failure of one-drug-one-target therapy is observed in tumor forms that are particularly refractory and resistant to chemotherapies, such as glioblastoma multiforme (GBM). GBM is the most common tumor of the CNS and it is considered as the deadliest form of brain cancer with a survival rate of less than 4%  . Moreover, the average survival rate in GBM patients undergoing maximum safe surgical resection is approximately only 14 months. When surgery is followed by adjuvant postoperative multimodal therapy, including both chemo-and radiotherapy with conventional cytotoxic agents (Delgado-López and Corrales-García, 2016), the resulting life expectation increases to about 5 years. Such a poor prognosis for GBM has been related to various factors, such as the rapid onset of the disease, cancer location, and a deficient knowledge of the pathophysiology  , that limit the availability of efficient therapeutic tools, thus highlighting the urgency to find novel efficacious treatments.","Glioblastoma multiforme (GBM) is the most common tumor of the CNS, and the deadliest form of brain cancer. The rapid progression, the anatomic location in the brain and a deficient knowledge of the pathophysiology, often limit the effectiveness of therapeutic interventions. Current pillars of GBM therapies include surgical resection, radiotherapy and chemotherapy, but the low survival rate and the short life expectation following these treatments strongly underline the urgency to identify innovative and more effective therapeutic tools. Frequently, patients subjected to a mono-target therapy, such as Temozolomide (TMZ), develop drug resistance and undergo relapse, indicating that targeting a single cellular node is not sufficient for eradication of this disease. In this context, a multi-targeted therapeutic approach aimed at using compounds, alone or in combination, capable of inhibiting more than one specific molecular target, offers a promising alternative. Such strategies have already been well integrated into drug discovery campaigns, including in the field of anticancer drugs. In this miniperspective, we will discuss the recent progress in the treatment of GBM focusing on innovative and effective preclinical strategies, which are based on a multi-targeted approach.",https//fjfsdata01prod.blob.core.windows.net/articles/files/388950/pubmed-zip/.versions/1/.package-entries/fphar-09-00874/fphar-09-00874.pdf?sv=2018-03-28&sr=b&sig=8JWArzH043weBh0UAXyItmCYri8abqRdIxccoEVe6ZY%3D&se=2021-03-02T02%3A32%3A19Z&sp=r&rscd=attachment%3B%20filename%2A%3DUTF-8%27%27fphar-09-00874.pdf
69,The Diagnostic and Therapeutic Role of Leptin and Its Receptor ObR in Glioblastoma Multiforme,"In addition to its canonical role in immune-metabolic signaling (satiety and weight loss/gain), leptin is well-known to promote cellular proliferation, survival and migration through its associated receptor (ObR) and related pathways under physiological conditions, as well as during the initiation and progression of cancers of different organ systems (breast, lung, prostate, brain). Leptin/ObR activities have been characterized as anti-apoptotic, proliferative and potentially pro-angiogenetic   . In particular, data from experimental (in vivo and in vitro) and human studies indicate that the leptin/ObR axis and its degree of expression may differ depending on brain tumor grade     . For instance, compared to low-grade gliomas and other brain tumor entities, glioblastoma multiforme (GBM) cells display a relatively high leptin and ObR expression profile, suggesting a role for the leptin/ObR ratio in the development and recurrence of high-grade, aggressive gliomas (glioblastoma; cell growth, invasion, migration)  .","Despite recent advances in molecular brain tumor therapies, glioblastoma multiforme remains a diagnostic and therapeutic challenge with, in most cases, unfavorable outcome. Leptin and related mediators of immune-metabolic traffic have attracted increased recognition in the past decade in brain tumor biology, in particular potential implications in the diagnosis and treatment of recurrent and newly diagnosed high and low grade gliomas. Randomized controlled trails are on the way to elaborate the role of leptin and its receptor ObR by targeting and using antidiabetic drugs known to interact with distinct pathways associated with leptin signaling. To date, most of the findings in clinical studies remain preliminary and of heterogenous character, although experimental studies have underpinned the relevance of leptin and ObR in the pathophysiology of brain tumors in general.Leptin has been recognized as a potential tumor growth promoter in various cancers including cranial tumor pathologies such as pituitary adenomas, meningiomas and gliomas. Despite recent advances in adjunctive therapy and the established surgical resection, chemo- and radiotherapy regimen, glioblastoma multiforme remains a particular diagnostic and therapeutic challenge among the intracranial tumor pathologies, with a poor long-term prognosis. Systemic inflammation and immune-metabolic signaling through diverse pathways are thought to impact the genesis and recurrence of brain tumors, and glioblastoma multiforme in particular. Among the various circulating mediators, leptin has gained especial diagnostic and therapeutic interest, although the precise relationship between leptin and glioblastoma biology remains largely unknown. In this narrative review (MEDLINE/OVID, SCOPUS, PubMed and manual searches of the bibliographies of known primary and review articles), we discuss the current literature using the following search terms leptin, glioblastoma multiforme, carcinogenesis, immunometabolism, biomarkers, metformin, antidiabetic medication and metabolic disorders. An increasing body of experimental evidence implicates a relationship between the development and maintenance of gliomas (and brain tumors in general) with a dysregulated central and peripheral immune-metabolic network mediated by circulating adipokines, chemokines and cellular components, and in particular the leptin adipokine. In this review, we summarize the current evidence of the role of leptin in glioblastoma pathophysiology. In addition, we describe the status of alternative diagnostic tools and adjunctive therapeutics targeting leptin, leptin-receptors, antidiabetic drugs and associated pathways. Further experimental and clinical trials are needed to elucidate the mechanism of action and the value of immune-metabolism molecular phenotyping (central and peripheral) in order to develop novel adjunctive diagnostics and therapeutics for newly diagnosed and recurrent glioblastoma patients.",https//res.mdpi.com/d_attachment/cancers/cancers-12-03691/article_deploy/cancers-12-03691.pdf
101,Phase I/pharmacokinetic study of CCI-779 in patients with recurrent malignant glioma on enzyme-inducing antiepileptic drugs,"Treatment options are limited for patients with malignant glioma recurring despite radiation and adjuvant chemotherapy with either a nitrosourea or temozolomide  . Recent advances in the understanding of molecular and cytogenetic pathways involved in gliomagenesis, tumor growth, and invasion have led to the rational targeting of aberrant molecular pathways. A significant proportion of glioblastoma mul-tiforme (GBM) have altered PTEN gene-suppression activity  , which results in the increased activity of the phosphotidylinositol 3-kinase (PI3K)/Akt pathway. This in turn activates the mammalian target of rapamycin (mTOR), thereby increasing translation of a number of key proteins required for cell-cycle progression. The presence of PTEN gene alterations and the subsequent activation of the PI3K/Akt/mTOR pathway have been associated with poor prognosis in anaplastic astrocytoma (AA), anaplastic oligodendroglioma, and GBM    . Restoration of PTEN function or targeting of the components of the PI3K/Akt/mTOR pathways can result in cell-cycle arrest, apoptosis, or reduced tumorigenicity and are rational targets for clinical evaluation.","s CCI-779 is an ester of the immunosuppressive agent sirolimus ( rapamycin) that causes cell-cycle arrest at G1 via inhibition of key signaling pathways resulting in inhibition of RNA translation. Antitumor activity has been demonstrated using cell lines and animal models of malignant glioma. Patients receiving enzyme-inducing anti-epileptic drugs (EIAEDs) can have altered metabolism of drugs like CCI-779 that are metabolized through the hepatic cytochrome P450 enzyme system. The objectives of this study were to determine the pharmacokinetic profile and the maximum tolerated dose of CCI-779 in patients with recurrent malignant gliioma taking EIAEDs. Study design The starting dose of CCI-779 was 250 mg intravenously (IV) administered weekly on a continuous basis. Standard dose escalation was performed until the maximum tolerated dose was established. Toxicity was assessed using the National Cancer Institute common toxicity criteria.  Two of 6 patients treated at the second dose level of 330 mg sustained a dose-limiting toxicity grade III stomatitis, grade 3 hypercholesterolemia, or grade 4 hypertriglyceridemia. The maximum tolerated dose was reached at 250 mg IV. Pharmacokinetic profiles were similar to those previously described, but the area under the whole blood concentration-time curve of rapamycin was 1.6 fold lower for patients on EIAEDs.  The recommended phase II dose of CCI 779 for patients on enzyme-inducing antiepileptic drugs is 250 mg IV weekly. A phase II study is ongoing to determine the efficacy of this agent.",https//deepblue.lib.umich.edu/bitstream/handle/2027.42/45250/10637_2004_Article_5273867.pdf?sequence=1
123,Toxicity evaluation of prolonged convection-enhanced delivery of small-molecule kinase inhibitors in naive rat brainstem,"Diffuse intrinsic pontine gliomas (DIPGs) are inoperable and lethal high-grade gliomas that account for 75-80 % of pediatric brainstem gliomas  . The current standard of care for DIPG is radiation therapy and despite numerous efforts to improve treatment, the prognosis for DIPG remains poor, with median survival of shorter than 1 year  .","Convection-enhanced delivery (CED), a local drug delivery technique, is typically performed as a single session and drug concentrations therefore decline quickly post CED. Prolonged CED (pCED) overcomes this problem by performing a long-term infusion to maintain effective drug concentrations for an extended period. The purpose of the current study was to assess the toxicity of using pCED to deliver single and multi-drug therapy in na < ve rat brainstem.Sixteen rats underwent pCED of three small-molecule kinase inhibitors in the pons. Single and multi-drug combinations were delivered continuously for 7 days using ALZET mini-osmotic pumps (model 2001, rate of 1 mu l/h). Rats were monitored daily for neurological signs of toxicity. Rats were sacrificed 10 days post completion of infusion, and appropriate tissue sections were analyzed for histological signs of toxicity.Two rats exhibited signs of neurological deficits, which corresponded with diffuse inflammation, necrosis, and parenchymal damage on histological analysis. The remaining rats showed no neurological or histological signs of toxicity.The neurological deficits in the two rats were likely due to injury from physical force, such as cannula movement post insertion and subsequent encephalitis. The remaining rats showed no toxicity and therefore brainstem targeting using pCED to infuse single and multi-drug therapy was well tolerated in these rats.",https//link.springer.com/content/pdf/10.1007/s00381-014-2568-3.pdf
145,Phase I study of sorafenib and tipifarnib for recurrent glioblastoma NABTC 05-02,"Primary malignant central nervous system tumors cause more than 13,000 deaths per year in the United States  . The most common as well as the most aggressive primary brain tumor is glioblastoma (GBM). Despite optimal treatment with surgery, radiation therapy and temozolomide chemotherapy, almost 90% of patients with GBM will have tumor progression by 2 years  . Second line treatments with either chemotherapies or biological agents usually only achieve a 6-months progression free survival (PFS) in 15-16% of patients with GBM   , and slightly more, 29-45%, if treated with bevacizumab   . Thus, more effective treatments at recurrence are needed.","Recurrent glioblastoma (GBM) has a very low 6-month progression free survival (PFS) with currently available treatments. Combination chemotherapy to target multiple cell signaling pathways is currently being investigated in order to improve prognosis for recurrent disease. The purpose of this phase I study was to determine the maximum tolerated dose (MTD) for the combination of tipifarnib and sorafenib for the treatment of recurrent GBM. Patients with pathologically proven WHO grade IV GBM and radiographically proven tumor recurrence were eligible for this study. Treatments included sorafenib at twice daily and escalating dosages of tipifarnib. Dose-limiting toxicity (DLT) was determined over the first 28-days of treatments, and the MTD was determined in a 3 + 3 study design. We enrolled 24 patients, and 21 patients completed the MTD period. The study was stopped early with no MTD determination for excessive toxicities. The last dose level reached was sorafenib at 200 mg twice a day and tipifarnib 100 mg twice a day on an alternating week schedule. The DLTs included diarrhea, lipase elevation, hypophosphatemia, and arthralgia. The combination of sorafenib and tipifarnib has excessive toxicities and full single agent dosages could not be achieved in combination.",https//link.springer.com/content/pdf/10.1007/s11060-017-2624-4.pdf
172,Systemic rapamycin alone may not be a treatment option for malignant glioma evidence from an in vivo study,"The prognosis for patients with malignant glioma, such as glioblastoma multiforme (GBM), remains very poor despite combined therapeutic modalities, including surgery, radiation, and chemotherapy   . Because these tumors grow rapidly and invade the surrounding brain parenchyma, it is often impossible to achieve complete surgical resection without causing severe neurologic damage  . Although it is an important therapy for GBM, chemotherapy has not consistently achieved clinical benefits, with significant response in only 10-30% of patients   . Therefore, there is an obvious need for the development of novel therapeutic strategies for the treatment of GBM, such as inhibition of the activities of specific molecular targets that contribute to the malignancy of cancers.","The mammalian target of rapamycin (mTOR) plays a central role in regulating the proliferation of cancer cells, and mTOR-specific inhibitors such as rapamycin analogs are considered as a promising therapy for malignant glioma. In this study, we investigated the possibility of using mTOR inhibitors to treat gliomas. We used a molecular marker, phosphorylation of S6 protein, to monitor biological effects of mTOR inhibitors within xenografts. Phosphorylation was decreased more in U87MG glioma after treatment with high doses of rapamycin or its analog, torisel (10 mg/kg or 25 mg/kg), but only slightly after a low dose of rapamycin (3 mg/kg). This effect correlated with enhanced survival of rats after weekly peritoneal injections of both drugs at the highest two doses but not at the low dose. High doses of both drugs caused weight loss in rats. Clinical trial data indicates that low doses of Torisel (< 3 mg/kg) were not efficacious in recurrent GBM. It is concluded that systemic administration of rapamycin analogues may not be a treatment option for patients with malignant glioma due to the intolerability of high doses that might otherwise be effective. The present study underscores the need for better pre-clinical evaluation of drugs with respect to therapeutic window.",https//link.springer.com/content/pdf/10.1007/s11060-012-0804-9.pdf
189,The tumorigenic FGFR3-TACC3 gene fusion escapes miR-99a regulation in glioblastoma,"Fusion genes are hybrid genes that form when a chromosomal rearrangement combines parts of 2 genes. Since their original identification in blood cancers (1), fusion genes have been identified in many solid tumors, such as Ewing sarcoma  , synovial sarcoma (3), prostate cancer   , lung cancer   , breast cancer  , and ovarian cancer  . Gene fusions can lead to the production of oncogenic fusion proteins, such as the constitutively active BCR-ABL1 kinase in chronic myelogenous leukemia  . Alternatively, fusion genes can lead to enhanced expression of oncogenes via promoter switching, as observed in the case of TMPRSS2-ERG fusions in prostate cancer  . Recent evidence suggests that some fusion genes can bypass microRNA-mediated regulation via 3′untranslated region (3′-UTR) deletion. For example, protein levels of the transcription factor MYB are typically low in adenoid cystic carcinoma (ACC) due to high expression of the MYB repressors miR-15a and miR-16   . However, the 3′-UTR of MYB is lost upon formation of the MYB-NFIB fusion gene, leading to elevated levels of the MYB protein  .","Fusion genes are chromosomal aberrations that are found in many cancers and can be used as prognostic markers and drug targets in clinical practice. Fusions can lead to production of oncogenic fusion proteins or to enhanced expression of oncogenes. Several recent studies have reported that some fusion genes can escape microRNA regulation via 3'-untranslated region (3'-UTR) deletion. We performed whole transcriptome sequencing to identify fusion genes in glioma and discovered FGFR3-TACC3 fusions in 4 of 48 glioblastoma samples from patients both of mixed European and of Asian descent, but not in any of 43 low-grade glioma samples tested. The fusion, caused by tandem duplication on 4p16.3, led to the loss of the 3'-UTR of FGFR3, blocking gene regulation of miR-99a and enhancing expression of the fusion gene. The fusion gene was mutually exclusive with EGFR, PDGFR, or MET amplification. Using cultured glioblastoma cells and a mouse xenograft model, we found that fusion protein expression promoted cell proliferation and tumor progression, while WT FGFR3 protein was not tumorigenic, even under forced overexpression. These results demonstrated that the FGFR3-TACC3 gene fusion is expressed in human cancer and generates an oncogenic protein that promotes tumorigenesis in glioblastoma.",https//www.ncbi.nlm.nih.gov/pmc/articles/PMC3561838/pdf/JCI67144.pdf
243,Investigational new drugs for brain cancer,"In the United States, approximately 23,000 people are diagnosed with a malignant brain tumor each year  , of which approximately 80% belong to the heterogeneous group of diffuse gliomas  . Histologically, gliomas are graded into individual classes as defined by the World Health Organization (WHO) classification of central nervous system (CNS)","Introduction Despite substantial improvements in standards of care, the most common aggressive pediatric and adult high-grade gliomas (HGG) carry uniformly fatal diagnoses due to unique treatment limitations, high recurrence rates and the absence of effective treatments following recurrence. Recent advancements in our understanding of the pathophysiology, genetics and epigenetics as well as mechanisms of immune surveillance during gliomagenesis have created new knowledge to design more effective and target-directed therapies to improve patient outcomes.Areas covered In this review, the authors discuss the critical genetic, epigenetic and immunologic aberrations found in gliomas that appear rational and promising for therapeutic developments in the presence and future. The current state of the latest therapeutic developments including tumor-specific targeted drug therapies, metabolic targeting, epigenetic modulation and immunotherapy are summarized and suggestions for future directions are offered. Furthermore, they highlight contemporary issues related to the clinical development, such as challenges in clinical trials and toxicities.Expert opinion The commitment to understanding the process of gliomagenesis has created a catalogue of aberrations that depict multiple mechanisms underlying this disease, many of which are suitable to therapeutic inhibition and are currently tested in clinical trials. Thus, future treatment endeavors will employ multiple treatment modalities that target disparate tumor characteristics personalized to the patient's individual tumor.",https//www.ncbi.nlm.nih.gov/pmc/articles/PMC5674816/pdf/nihms806845.pdf
292,Receptor-Targeted Glial Brain Tumor Therapies,"In the nineteenth century, glial cells were perceived to hold the central nervous system (CNS) together. Hence, the word 'glia' arises from the Greek word, 'glue'  . Glial cells are supportive cells of the central nervous system. Gliomas arise when these supportive glial cells (or neuronal stem cells)     become malignant. The severity of malignancy is categorized in terms of grades. Several pathological features, such as abnormal appearance of the nucleus (nuclear atypia), necrosis, microvascular proliferation, and hemorrhages determine the extent of tumor aggressiveness and prognosis   . Lower grade (I-II) gliomas (LGG) include ependymomas, plilocytic astocytomas, angiocentric gliomas, papillary glioneural tumors, pituicytomas, choroid plexus carcinomas and rosette-forming glioneural tumors of the fourth ventricle. The latter exhibit more benign features and are associated with a better prognosis    .","Among primary brain tumors, malignant gliomas are notably difficult to manage. The higher-grade tumors represent an unmet need in medicine. There have been extensive efforts to implement receptor-targeted therapeutic approaches directed against gliomas. These approaches include immunotherapies, such as vaccines, adoptive immunotherapy, and passive immunotherapy. Targeted cytotoxic radio energy and pro-drug activation have been designed specifically for brain tumors. The field of targeting through receptors progressed significantly with the discovery of an interleukin 13 receptor alpha 2 (IL-13RA2) as a tumor-associated receptor over-expressed in most patients with glioblastoma (GBM) but not in normal brain. IL-13RA2 has been exploited in novel experimental therapies with very encouraging clinical responses. Other receptors are specifically over-expressed in many patients with GBM, such as EphA2 and EphA3 receptors, among others. These findings are important in view of the heterogeneity of GBM tumors and multiple tumor compartments responsible for tumor progression and resistance to therapies. The combined targeting of multiple receptors in different tumor compartments should be a preferred way to design novel receptor-targeted therapeutic approaches in gliomas.",https//res.mdpi.com/d_attachment/ijms/ijms-19-03326/article_deploy/ijms-19-03326.pdf
