,word,index,count,summary
3,18f,"{473, 490}",2,Bevacizumab represents a potentially promising new therapeutic approach to these otherwise refractory tumors. The aim of the study is to establish data regarding the anti-tumor activity of bevacizumab in patients with recurrent high-grade gliomas as determined by progression-free-survival. Patients will be treated with the anti-vascular endothelial growth factor (VEGF) antibody. The study is open to patients with histologically proven intracranial malignant glioma. Patients must have progressed after radiation therapy and must have an interval of greater than or equal to 4 weeks from the completion of radiation therapy to study entry.
7,18f-fet,"{514, 259}",2,"The purpose of the study is to evaluate the short- and long-term toxicity of radiotherapy to patients with recurrent high-grade glioma. Positron emission tomography (PET) using an amino acid tracer, 18-fluoro-ethyltyrosine (18F-FET), is used for target delineation. The study examines, in four sequential treatment groups, the effect of dose, hypofractionation and treatment volume on toxicity. Upon completion of the phase I part, the study progresses to phase II where the best dose- and treatment regimen will be chosen for treatment. The IPAX-1 study is a single-arm, randomised, parallel-group, multi-centre dose-finding study."
24,abemaciclib,"{209, 82, 236}",3,"Abemaciclib 150 mg orally twice daily when administered with Bevacizumab 10 mg/kg intravenously every 2 weeks to recurrent GBM patients with specific tumor molecular aberrations. Many brain cancers show over expression of a protein called cyclin D1. Too much cyclin D1 triggers CDK 4 and CDK 6 to make more cells than normal. This extra cell production leads to the growth of tumors. In laboratory studies, Abemaciclib was able to enter the brain, stop CDK 4 andCDK 6 from making cells, and slow growth of mice Glioblastoma."
34,aee788,"{411, 405}",2,"AEE788 is being tested in patients with recurrent or relapsed glioblastoma multiforme. The study is an open-label, multicenter, dose-escalation study of AEE788. Patients are assigned to 1 of 2 treatment groups. Patients receive oral AEE788 once daily and oral everolimus once daily on days 1-28. Group 2: Beginning at the first occurrence of dose-limiting toxicity in group 1, patients receive AEE788 as in group 1 and a higher-dose of oral everolimusonce daily on days 2-28. The study is being conducted in the U.S. and Europe."
44,amg386,"{272, 41}",2,"AMG 386 (trebananib) 15 mg/kg weekly in combination with bevacizumab 10 mg/kg every 2 weeks (Cohort 1). (closed to accrual 10/2/12) II. To assess the efficacy of AMG 386 in combination with beVacizumab every 2 weeks. (Cohort 2) III. To determine the radiographic response rate (RR), median progression-free survival (PFS), and. to determine the percentage of patients requiring dose reduction/interruption or discontinuation in the first 2 and subsequent cycles (Cohorts 1 and 2)"
50,aminoacid,"{416, 553, 259, 230}",4,Methionine is an essential amino acid. Many solid tumors depend on the methionine that is taken in through the diet. The tumors need methionine to grow. A methionine free (or reduced) diet may help to shrink or slow the growth of some tumors. Temozolomide is a drug that is commonly used in the treatment of glioma. The study participants will receive standard chemotherapy with temozolomide by mouth once a day at bedtime for 7 days on Days 8 and 9. Women who are able to have children must have a negative blood pregnancy test. The dietician will give you written instructions and make a food plan based on your needs.
52,amt,"{353, 284}",2,"If you agree to take part in this research study, you will be asked to have:  1. A PET scan, 2. brief clinical questionnaires, and 3. biochemical studies of blood and tumor tissue. You will also have a second PET scan later, 2-3 months after the start of NovoTTF therapy, to determine if there are changes in the tumor that can be detected by PET. It will take about 3 hours to complete the PET scan; this includes the completion of the questionnaire, preparation and scanning. If you are a female of child-bearing age, we will need a small urine sample from you before starting the PET scanning procedure."
58,ap12009,"{458, 406}",2,"AP 12009 is a phosphorothioate antisense oligodeoxynucleotide specific for the mRNA of human transforming growth factor-beta2 (TGF-beta2) TGF-beta plays a key role in malignant progression of various tumors by inducing proliferation, invasion, metastasis, angiogenesis and escape from immunosurveillance. In patients with high-grade glioma, the TGF-beta2 overexpression is associated with disease stage, clinical prognosis and the immunodeficient state of the patients. The purpose of this study is to compare the safety and efficacy of the 10?M concentration of AP 12009 and standard chemotherapy in adult patients with recurrent or refractory glioma."
75,axitinib,"{19, 219}",2,"High-grade gliomas of the central nervous system (CNS) are characterized by profound tumor related neo-angiogenesis, and intracranial perilesional edema. Glioblastoma (WHO-grade IV glioma) expresses high levels of VEGF and frequently carries an amplified gene copy numbers of the VEGFR2, KIT and PDGFR or EGFR genes. No treatment option has demonstrated to improve the survival expectancy of recGB patients in a randomized clinical trial. Bevacizumab treatment has been registered by FDA based on objective tumor response rates and PFS results obtained in uncontrolled phase II trials."
79,azd1775,"{33, 477}",2,The aim was to determine the maximum tolerated doses (MTD) of AZD1775 (adavosertib) in combination with the current standard of care for treating patients with newly diagnosed glioblastoma. The study included 6 weeks of daily (Monday-Friday [M-F]) radiotherapy (RT) and concomitant temozolomide (TMZ) administered at 75 mg/m^2/day for 5 days every 28 days. The aim was to characterize the safety profile of AZD17 75 (adavoertib) in patients with glioblastomas after concurrent RT/TMZ.
