index,title,id,description
0,A Phase III Study of Re-Irradiation in Recurrent Glioblastoma,NCT01830101,"This is a stratified study for patients with recurrent intracranial glioblastoma or gliosarcoma previously treated with concurrent chemoradiation presenting radiographic progression or recurrence of tumour. Patients are stratified by extent of resection, time to re-irradiation and re-irradiation volume."
1,"Trial of Combination TTF(Optune), Nivolumab Plus/Minus Ipilimumab for Recurrent Glioblastoma",NCT03430791,"Phase I/II trial in which participants with recurrent glioblastoma will receive a combination of tumor treating fields(portable device), nivolumab with or without ipilimumab.  The NovoTTF200A (OptuneTM) device is worn continuously for a goal of 75% or more of the time, ranging from at least 18 hours daily uninterrupted or 22 hours daily with 2-3 days off monthly. Therapy is planned for approximately 24 months.  Infusions with nivolumab will start within 1 week of study start. Ipilimumab will either start with the second nivolumab infusion or at after tumor progression. Nivolumab is infused intravenously at 240 mg once every 2 weeks with or without ipilimumab for a maximum of 24 months. Ipilimumab is dosed at 1 mg/kg once every 6 weeks for a maximum of 4 doses (24 weeks). Infusions will continue until maximum doses are completed or there is confirmed tumor progression, intolerable adverse effects or withdrawal of consent."
2,Clinical Study on the Treatment of Recurrent Glioblastoma With Anlotinib,NCT04004975,"INCLUSION CRITERIA:  Histologically confirmed World Health Organization (WHO) Grade IV glioblastoma.; Radiographic evidence of tumour progression or recurrence; The second-generation gene sequencing on pathological specimens and cerebrospinal fluid show at least one genetic mutation of the four genes (VEGFR£¬Kit£¬PDGFR£¬FGFR); ¡Ã 18 years of age; Karnofsky performance status (KPS) ¡Ã 70; Corticosteroid dose must be stable or decreasing for at least 5 days prior to the scan. a new baseline scan is required 1.7 Measurable disease as per Response Assessment in Neuro-Oncology (RANO) criteria; Estimated survival of at least 3 months; signed informed consent form; Hgb > 9 gm; absolute neutrophil count (ANC) > 1500/¥ìl; platelets > 100,000; Creatinine < 1.5 times the upper limit of laboratory normal value; Bilirubin < 2 times the upper limit of laboratory normal value; serum glutamate pyruvate transaminase (SGPT) or serum glutamate oxaloacetate transaminase (SGOT) < 3 times the upper limit of laboratory normal value;  EXCLUSION CRITERIA:  Exclusion Criteria:  Subjects with newly diagnosed GBM Pregnant women or nursing mothers cannot participate in the study. Women of childbearing age must have a negative pregnancy test within 72 hours prior to study entry. Women of childbearing potential must practice medically approved contraceptive precautions; Abnormal hematological results at inclusion with: Neutrophils < 1,500/mm3; Blood-platelets < 100,000/mm3 Severe or chronic renal insufficiency (creatinine clearance ¡Â 30 ml/min); Patient unable to follow procedures, visits, examinations described in the study; Any usual formal indication against imaging examinations (important claustrophobia, pacemaker);"
3,"Pre- and Postoperative Use of ZD1839 (Iressa) in Recurrent Glioblastoma, Including Translational Research",NCT00250887,"Glioblastoma (GBM) patients who relapse and are in good performance status, without serious neurological deficits are offered secondary surgery and participation in the trial. Eligible patients must have had standard treatment including primary surgery, radiation therapy and at least a first line chemotherapy. Patients on cytochrome P450 isoenzyme CYP3A4-inducing antiepileptic drugs (EIAE) are excluded due to ensuing interactions of these drugs with gefitinib metabolism, reducing systemic availability. After giving written informed consent, patients receive gefitinib 500 mg daily starting at least 5 days prior to re-operation, allowing a steady state condition.Treatment continues until tumor progression or occurrence of intolerable side effects.The specimens collected at surgery will undergo translational research, aiming to correlate drug accumulation and molecular signatures of GBM samples with clinical outcome."
4,A Phase 2 Study of PLX3397 in Patients With Recurrent Glioblastoma,NCT01349036,The objective of this study is to evaluate the response of subjects with recurrent glioblastoma to continuous therapy of PLX3397.
5,Ketogenic Diet for Recurrent Glioblastoma,NCT00575146,"Increased glycolysis and reduced oxidative phosphorylation is a characteristic property of many tumors. A change of nutrition by limiting carbohydrates and increasing the proportion of fatty acids and proteins can lead to ketogenic metabolism and might limit energy production in tumor cells and therefore inhibit tumor growth. Standard treatment for glioblastoma includes resection, irradiation and temozolomide chemotherapy. If there is tumor recurrence, no standard therapy is established. Therapeutic options in this situation include resection, irradiation or another chemotherapy. However, some patients cannot be treated in this situation, because none of the available treatment options seems reasonable or applicable, for example if no additional chemotherapy can be started at the time of recurrence due to myelosuppression. The pilot study examines whether in this situation a ketogenic diet can be applied to the patients and may inhibit tumor growth and influence the quality of life of the patients."
6,Phase Ib/II Study of Buparlisib Plus Carboplatin or Lomustine in Patients With Recurrent Glioblastoma Multiforme,NCT01934361,"This is a multi-center, phase Ib/ II study (two parts) with patients that had recurrent glioblastoma multiforme. The first part (phase Ib) was to investigate the maximum tolerated dose/Recommended phase ll dose (MTD/RP2D) of once daily buparlisib in combination with every-three-week carboplatin or buparlisib once daily in combination with every-six-week lomustine (CCNU) using a Bayesian model. Once MTD/ RP2D is established in either of the 2 arms, the corresponding phase II portion of the study was to start. Phase II was to assess the treatment effect of buparlisib in combination with carboplatin in terms of Progression Free Survival (PFS) and was to compare the treatment effect of buparlisib with lomustine versus lomustine plus placebo in terms of PFS.  A preliminary assessment for both combinations (buparlisib plus carboplatin or lomustine) demonstrated that there was not enough antitumor activity compared to historical data with single agent carboplatin or lomustine. Based on the overall safety profile, and preliminary anti-tumor activity observed in this study, Novartis decided that no additional patients would be enrolled into this study. As a consequence, the Phase II part of the study was not conducted."
7,Ketogenic Diet Adjunctive to Salvage Chemotherapy for Recurrent Glioblastoma:a Pilot Study,NCT02939378,"Diet change by limiting carbohydrates and increasing the proportion of fatty acids and proteins can lead to ketogenic metabolism and might limit energy production in tumor cells and inhibit tumor growth.  In a pilot of recurrent glioblastoma, ketogenic diet adjuvant salvage chemotherapy was given as interventional group and standard diet adjuvant salvage chemotherapy was given as control group.  The study examines whether a ketogenic diet adjunctive to salvage chemotherapy can be applied to the patients and may inhibit tumor growth and influence the quality of life of the patients."
8,Trial to Evaluate the Safety of TTAC-0001(Tanibirumab) in Recurrent Glioblastoma,NCT03033524,"Study Design - Multicenter, open-label, 3 arms, stepwise, phase ¥±a clinical trial  Study objective:  Primary - To evaluate the safety of TTAC-0001 in patients with recurrent glioblastoma. Secondary - To determine the efficacy of TTAC-0001 in patients with recurrent glioblastoma.  Exploratory  To evaluate pharmacokinetic (PK) parameters of TTAC-0001 in patients with recurrent glioblastoma To evaluate pharmacodynamic (PD) parameters by clinical biomarker test  Study Methodology  Patients will be sequentially enrolled from the 1st arm. An enrollment criterion to the next arm is defined as no patients in the previous treatment arm showing grade ¡Ã3 of hemangioma or other Dose Limiting Toxicities (DLT). A safety review committee (SRC) will convene to determine the patient's safety with a decision on enrollment into the next arm or change in dosing frequency of study drug in the above case.  A patient who is withdrawn from the study before the completion of the 1st cycle can be replaced with another patient. Patients will be treated for up to 1 year, unless a cause for termination occurs, such as progression of disease (PD) or the withdrawal of consent."
9,BIBF 1120 in Recurrent Glioblastoma Multiforme,NCT01251484,"VEGF inhibition by BEV may induce a change in tumor invasiveness and treatment failure is often associated with remote metastases. BEV may stop the growth of tumor cells by blocking blood flow to the tumor. Cediranib, a pan-VEGF inhibitor has shown promising results in recurrent GBM.  VEGF-blocking with small molecules may overcome the mechanism of resistance, and response to BIBF-1120 in such circumstances may open a new treatment option in GBM. In additional, recurrent glioblastomas have an extremely poor prognosis, so innovative therapies are needed."
