index,word,block,pos
1,nivolumab,"Phase I/II trial in which participants with recurrent glioblastoma will receive a combination of tumor treating fields(portable device), nivolumab with or without ipilimumab.",137
1,nivolumab,Infusions with nivolumab will start within 1 week of study start.,15
1,ipilimumab,Ipilimumab will either start with the second nivolumab infusion or at after tumor progression.,0
1,nivolumab,Ipilimumab will either start with the second nivolumab infusion or at after tumor progression.,45
1,nivolumab,Nivolumab is infused intravenously at 240 mg once every 2 weeks with or without ipilimumab for a maximum of 24 months.,0
1,ipilimumab,Nivolumab is infused intravenously at 240 mg once every 2 weeks with or without ipilimumab for a maximum of 24 months.,80
2,creatinine,"a new baseline scan is required 1.7 Measurable disease as per Response Assessment in Neuro-Oncology (RANO) criteria; Estimated survival of at least 3 months; signed informed consent form; Hgb > 9 gm; absolute neutrophil count (ANC) > 1500/μl; platelets > 100,000; Creatinine < 1.5 times the upper limit of laboratory normal value; Bilirubin < 2 times the upper limit of laboratory normal value; serum glutamate pyruvate transaminase (SGPT) or serum glutamate oxaloacetate transaminase (SGOT) < 3 times the upper limit of laboratory normal value;  EXCLUSION CRITERIA:  Exclusion Criteria:  Subjects with newly diagnosed GBM Pregnant women or nursing mothers cannot participate in the study.",264
2,bilirubin,"a new baseline scan is required 1.7 Measurable disease as per Response Assessment in Neuro-Oncology (RANO) criteria; Estimated survival of at least 3 months; signed informed consent form; Hgb > 9 gm; absolute neutrophil count (ANC) > 1500/μl; platelets > 100,000; Creatinine < 1.5 times the upper limit of laboratory normal value; Bilirubin < 2 times the upper limit of laboratory normal value; serum glutamate pyruvate transaminase (SGPT) or serum glutamate oxaloacetate transaminase (SGOT) < 3 times the upper limit of laboratory normal value;  EXCLUSION CRITERIA:  Exclusion Criteria:  Subjects with newly diagnosed GBM Pregnant women or nursing mothers cannot participate in the study.",331
2,glutamate,"a new baseline scan is required 1.7 Measurable disease as per Response Assessment in Neuro-Oncology (RANO) criteria; Estimated survival of at least 3 months; signed informed consent form; Hgb > 9 gm; absolute neutrophil count (ANC) > 1500/μl; platelets > 100,000; Creatinine < 1.5 times the upper limit of laboratory normal value; Bilirubin < 2 times the upper limit of laboratory normal value; serum glutamate pyruvate transaminase (SGPT) or serum glutamate oxaloacetate transaminase (SGOT) < 3 times the upper limit of laboratory normal value;  EXCLUSION CRITERIA:  Exclusion Criteria:  Subjects with newly diagnosed GBM Pregnant women or nursing mothers cannot participate in the study.",401
2,pyruvate,"a new baseline scan is required 1.7 Measurable disease as per Response Assessment in Neuro-Oncology (RANO) criteria; Estimated survival of at least 3 months; signed informed consent form; Hgb > 9 gm; absolute neutrophil count (ANC) > 1500/μl; platelets > 100,000; Creatinine < 1.5 times the upper limit of laboratory normal value; Bilirubin < 2 times the upper limit of laboratory normal value; serum glutamate pyruvate transaminase (SGPT) or serum glutamate oxaloacetate transaminase (SGOT) < 3 times the upper limit of laboratory normal value;  EXCLUSION CRITERIA:  Exclusion Criteria:  Subjects with newly diagnosed GBM Pregnant women or nursing mothers cannot participate in the study.",411
2,glutamate,"a new baseline scan is required 1.7 Measurable disease as per Response Assessment in Neuro-Oncology (RANO) criteria; Estimated survival of at least 3 months; signed informed consent form; Hgb > 9 gm; absolute neutrophil count (ANC) > 1500/μl; platelets > 100,000; Creatinine < 1.5 times the upper limit of laboratory normal value; Bilirubin < 2 times the upper limit of laboratory normal value; serum glutamate pyruvate transaminase (SGPT) or serum glutamate oxaloacetate transaminase (SGOT) < 3 times the upper limit of laboratory normal value;  EXCLUSION CRITERIA:  Exclusion Criteria:  Subjects with newly diagnosed GBM Pregnant women or nursing mothers cannot participate in the study.",449
2,oxaloacetate,"a new baseline scan is required 1.7 Measurable disease as per Response Assessment in Neuro-Oncology (RANO) criteria; Estimated survival of at least 3 months; signed informed consent form; Hgb > 9 gm; absolute neutrophil count (ANC) > 1500/μl; platelets > 100,000; Creatinine < 1.5 times the upper limit of laboratory normal value; Bilirubin < 2 times the upper limit of laboratory normal value; serum glutamate pyruvate transaminase (SGPT) or serum glutamate oxaloacetate transaminase (SGOT) < 3 times the upper limit of laboratory normal value;  EXCLUSION CRITERIA:  Exclusion Criteria:  Subjects with newly diagnosed GBM Pregnant women or nursing mothers cannot participate in the study.",459
2,creatinine,"Women of childbearing potential must practice medically approved contraceptive precautions; Abnormal hematological results at inclusion with: Neutrophils < 1,500/mm3; Blood-platelets < 100,000/mm3 Severe or chronic renal insufficiency (creatinine clearance ≤ 30 ml/min); Patient unable to follow procedures, visits, examinations described in the study; Any usual formal indication against imaging examinations (important claustrophobia, pacemaker);",236
3,gefitinib,"Patients on cytochrome P450 isoenzyme CYP3A4-inducing antiepileptic drugs (EIAE) are excluded due to ensuing interactions of these drugs with gefitinib metabolism, reducing systemic availability.",142
3,gefitinib,"After giving written informed consent, patients receive gefitinib 500 mg daily starting at least 5 days prior to re-operation, allowing a steady state condition.",56
4,plx3397,The objective of this study is to evaluate the response of subjects with recurrent glioblastoma to continuous therapy of PLX3397.,121
5,carbohydrates,A change of nutrition by limiting carbohydrates and increasing the proportion of fatty acids and proteins can lead to ketogenic metabolism and might limit energy production in tumor cells and therefore inhibit tumor growth.,34
5,fattyacids,A change of nutrition by limiting carbohydrates and increasing the proportion of fatty acids and proteins can lead to ketogenic metabolism and might limit energy production in tumor cells and therefore inhibit tumor growth.,81
5,temozolomide,"Standard treatment for glioblastoma includes resection, irradiation and temozolomide chemotherapy.",72
6,buparlisib,The first part (phase Ib) was to investigate the maximum tolerated dose/Recommended phase ll dose (MTD/RP2D) of once daily buparlisib in combination with every-three-week carboplatin or buparlisib once daily in combination with every-six-week lomustine (CCNU) using a Bayesian model.,123
6,carboplatin,The first part (phase Ib) was to investigate the maximum tolerated dose/Recommended phase ll dose (MTD/RP2D) of once daily buparlisib in combination with every-three-week carboplatin or buparlisib once daily in combination with every-six-week lomustine (CCNU) using a Bayesian model.,171
6,buparlisib,The first part (phase Ib) was to investigate the maximum tolerated dose/Recommended phase ll dose (MTD/RP2D) of once daily buparlisib in combination with every-three-week carboplatin or buparlisib once daily in combination with every-six-week lomustine (CCNU) using a Bayesian model.,186
6,lomustine,The first part (phase Ib) was to investigate the maximum tolerated dose/Recommended phase ll dose (MTD/RP2D) of once daily buparlisib in combination with every-three-week carboplatin or buparlisib once daily in combination with every-six-week lomustine (CCNU) using a Bayesian model.,243
6,ccnu,The first part (phase Ib) was to investigate the maximum tolerated dose/Recommended phase ll dose (MTD/RP2D) of once daily buparlisib in combination with every-three-week carboplatin or buparlisib once daily in combination with every-six-week lomustine (CCNU) using a Bayesian model.,254
6,buparlisib,Phase II was to assess the treatment effect of buparlisib in combination with carboplatin in terms of Progression Free Survival (PFS) and was to compare the treatment effect of buparlisib with lomustine versus lomustine plus placebo in terms of PFS.  ,47
6,carboplatin,Phase II was to assess the treatment effect of buparlisib in combination with carboplatin in terms of Progression Free Survival (PFS) and was to compare the treatment effect of buparlisib with lomustine versus lomustine plus placebo in terms of PFS.  ,78
6,buparlisib,Phase II was to assess the treatment effect of buparlisib in combination with carboplatin in terms of Progression Free Survival (PFS) and was to compare the treatment effect of buparlisib with lomustine versus lomustine plus placebo in terms of PFS.  ,177
6,lomustine,Phase II was to assess the treatment effect of buparlisib in combination with carboplatin in terms of Progression Free Survival (PFS) and was to compare the treatment effect of buparlisib with lomustine versus lomustine plus placebo in terms of PFS.  ,193
6,lomustine,Phase II was to assess the treatment effect of buparlisib in combination with carboplatin in terms of Progression Free Survival (PFS) and was to compare the treatment effect of buparlisib with lomustine versus lomustine plus placebo in terms of PFS.  ,210
6,buparlisib,A preliminary assessment for both combinations (buparlisib plus carboplatin or lomustine) demonstrated that there was not enough antitumor activity compared to historical data with single agent carboplatin or lomustine.,48
6,carboplatin,A preliminary assessment for both combinations (buparlisib plus carboplatin or lomustine) demonstrated that there was not enough antitumor activity compared to historical data with single agent carboplatin or lomustine.,64
6,lomustine,A preliminary assessment for both combinations (buparlisib plus carboplatin or lomustine) demonstrated that there was not enough antitumor activity compared to historical data with single agent carboplatin or lomustine.,79
6,carboplatin,A preliminary assessment for both combinations (buparlisib plus carboplatin or lomustine) demonstrated that there was not enough antitumor activity compared to historical data with single agent carboplatin or lomustine.,194
6,lomustine,A preliminary assessment for both combinations (buparlisib plus carboplatin or lomustine) demonstrated that there was not enough antitumor activity compared to historical data with single agent carboplatin or lomustine.,209
7,carbohydrates,Diet change by limiting carbohydrates and increasing the proportion of fatty acids and proteins can lead to ketogenic metabolism and might limit energy production in tumor cells and inhibit tumor growth.,24
7,fattyacids,Diet change by limiting carbohydrates and increasing the proportion of fatty acids and proteins can lead to ketogenic metabolism and might limit energy production in tumor cells and inhibit tumor growth.,71
8,ttac-0001,Primary - To evaluate the safety of TTAC-0001 in patients with recurrent glioblastoma.,36
8,ttac-0001,Secondary - To determine the efficacy of TTAC-0001 in patients with recurrent glioblastoma.,41
8,ttac-0001,Exploratory  To evaluate pharmacokinetic (PK) parameters of TTAC-0001 in patients with recurrent glioblastoma To evaluate pharmacodynamic (PD) parameters by clinical biomarker test  ,60
9,bev,VEGF inhibition by BEV may induce a change in tumor invasiveness and treatment failure is often associated with remote metastases.,19
9,bev,BEV may stop the growth of tumor cells by blocking blood flow to the tumor.,0
9,cediranib,"Cediranib, a pan-VEGF inhibitor has shown promising results in recurrent GBM.  VEGF-blocking with small molecules may overcome the mechanism of resistance, and response to BIBF-1120 in such circumstances may open a new treatment option in GBM.",0
9,bibf-1120,"Cediranib, a pan-VEGF inhibitor has shown promising results in recurrent GBM.  VEGF-blocking with small molecules may overcome the mechanism of resistance, and response to BIBF-1120 in such circumstances may open a new treatment option in GBM.",172
10,ttac-0001,"This is a phase 1b, open-Label clinical trial to determine the safety and tolerability and to establish a preliminary recommended Phase 2 dose (RP2D) of TTAC-0001 administered in combination with pembrolizumab in patients with recurrent glioblastoma.",153
12,ttac-0001,"This is a phase II, open-Label clinical trial to evaluate the safety and efficacy of TTAC-0001 in patients with recurrent glioblastoma who was progressed on bevacizumab including therapy.",85
12,bevacizumab,"This is a phase II, open-Label clinical trial to evaluate the safety and efficacy of TTAC-0001 in patients with recurrent glioblastoma who was progressed on bevacizumab including therapy.",157
13,pt2385,"To estimate the efficacy of hypoxia inducible factor (HIF)-2 alpha inhibitor PT2385 (PT2385) as measured by radiographic response rate (by Response Assessment in Neuro-Oncology, RANO, criteria) in patients with recurrent glioblastoma.",77
13,pt2385,"To estimate the efficacy of hypoxia inducible factor (HIF)-2 alpha inhibitor PT2385 (PT2385) as measured by radiographic response rate (by Response Assessment in Neuro-Oncology, RANO, criteria) in patients with recurrent glioblastoma.",85
13,pt2385,To estimate the efficacy of PT2385 as measured by progression free and overall survival in patients with recurrent glioblastoma.,28
13,pt2385,To determine the safety of oral PT2385 in patients with recurrent glioblastoma.,32
13,pt2385,To describe the pharmacokinetic and pharmacodynamic properties of PT2385 in patients with recurrent glioblastoma.,66
13,pt2385,To explore genetic polymorphisms involved in the metabolism of PT2385.,63
13,pt2385,Patients receive HIF-2 alpha inhibitor PT2385 orally (PO) twice daily (BID) on days 1-28.,39
14,bevacizumab,Subjects with recurrent glioblastoma who are candidates for bevacizumab treatment according to standard of care will be eligible for this study.,60
14,[18f]fmiso,[18F]FMISO to image the brain and evaluate for hypoxia pre and post therapy..,0
15,cediranib,The purpose of this study is to see how effective cediranib is in treating a brain tumour called recurrent glioblastoma.,50
15,lomustine,Lomustine is an approved oral chemotherapy that belongs to the class of drugs called alkylating agents.,0
15,cediranib,Cediranib is a new drug that has not yet been approved for this disease.,0
15,lomustine,"This study will compare the use of lomustine with cediranib, cediranib alone or lomustine with placebo (""inactive substance"") to see whether the combination or cediranib alone will be more effective than the chemotherapy alone (lomustine) in preventing the growth of cancer cells.",35
15,cediranib,"This study will compare the use of lomustine with cediranib, cediranib alone or lomustine with placebo (""inactive substance"") to see whether the combination or cediranib alone will be more effective than the chemotherapy alone (lomustine) in preventing the growth of cancer cells.",50
